UI,E1a,E2a,E3a,E4a,E5a,N1a,N2a,N3a,N4a,N5a,D1a,D2a,D3a,D4a,D5a,I1a,I2a,I3a,I4a,I5a,A1a,A2a,A3a,A4a,A5a,E1b,E2b,E3b,E4b,E5b,N1b,N2b,N3b,N4b,N5b,D1b,D2b,D3b,D4b,D5b,I1b,I2b,I3b,I4b,I5b,A1b,A2b,A3b,A4b,A5b,E1c,E2c,E3c,E4c,E5c,N1c,N2c,N3c,N4c,N5c,D1c,D2c,D3c,D4c,D5c,I1c,I2c,I3c,I4c,I5c,A1c,A2c,A3c,A4c,A5c,mean_target
10001,3,4,3,5,4,4,3,4,3,5,5,4,3,5,5,5,4,4,3,5,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80
10002,3,2,2,3,5,3,3,3,2,4,2,3,3,4,4,2,1,1,1,4,3,3,4,3,2,4,3,3,4,4,3,3,3,2,4,3,4,3,4,4,2,2,1,1,4,3,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,8.31
10003,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,2,2,3,3,2,3,1,2,2,3,3,3,3,3,2,3,3,3,2,1,3,3,2,3,3,2,4.89
10004,4,2,2,5,4,1,5,5,3,3,1,4,3,5,4,1,1,1,1,4,5,3,3,2,4,2,2,3,4,3,2,4,4,2,3,2,1,2,2,5,1,1,1,1,4,4,4,3,3,3,2,2,2,4,3,1,4,3,2,4,2,1,1,4,4,1,1,1,1,3,4,4,3,3,4,8.50
10005,2,1,2,2,3,2,3,1,1,4,1,3,2,3,3,2,1,2,1,4,1,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,2,3,2,3,4,2,2,2,2,4,1,2,2,1,1,6.13
10006,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,2,2,5,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,4,5,5,5,4,3,4,5,4,4,3,3,1,2,3,1,2,2,1,3,7.67
10007,1,1,3,1,2,2,1,1,2,2,1,4,2,3,2,1,1,1,2,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,3,3,1,4,2,6.63
10008,3,1,1,1,2,1,2,1,1,2,4,4,2,3,4,2,1,2,1,4,1,1,1,1,1,4,2,2,4,4,2,4,3,2,3,4,4,3,4,4,4,2,2,2,4,2,2,2,2,2,4,2,4,3,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,4,2,2,2,1,2,8.55
10009,3,2,2,3,4,2,2,2,3,4,3,3,3,3,4,3,2,2,2,4,2,2,3,2,2,3,2,2,4,4,2,2,2,2,4,2,3,3,3,4,3,2,2,2,4,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,8.67
10010,2,3,3,3,3,2,2,4,3,3,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,5,3,4,3,4,3,4,4,4,3,3,3,4,3,3,2,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,6.56
10011,5,2,2,4,3,3,2,2,2,5,3,3,3,4,4,2,1,2,2,4,3,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89
10012,4,3,2,4,4,4,5,3,4,4,3,3,2,4,5,2,2,1,1,4,1,1,1,2,3,5,4,4,5,5,4,4,4,3,5,2,3,3,3,5,3,2,1,1,5,2,2,2,2,3,3,4,3,3,4,4,5,5,5,4,2,4,3,4,4,1,2,1,1,3,2,1,2,1,2,8.50
10013,4,4,4,4,5,2,3,4,3,5,5,5,4,5,5,3,3,3,3,5,2,2,2,1,3,5,3,4,3,5,3,4,4,3,5,2,5,3,4,5,3,2,3,1,5,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
10014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5.75
10015,3,3,4,4,5,5,2,4,5,4,3,4,4,5,5,3,1,1,2,5,1,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,1,3,2,1,5,4,4,4,2,1,1,1,4,3,1,4,3,3,7.08
10016,4,3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,5,2,2,2,2,3,4,3,2,4,5,3,3,3,3,5,5,4,5,4,5,4,4,3,3,5,1,2,4,4,4,3,3,3,5,5,3,3,4,2,4,5,5,5,5,5,3,4,4,4,5,2,2,4,3,3,5.67
10017,5,3,3,5,4,3,5,4,5,3,4,4,3,3,5,2,3,2,2,5,1,1,2,1,2,4,1,3,4,3,2,3,3,2,3,5,3,5,4,2,3,3,1,2,2,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
10018,4,2,2,2,5,1,3,1,1,5,4,4,3,5,4,3,4,3,2,5,1,1,1,1,1,3,1,2,3,5,3,1,1,3,5,2,3,2,3,5,3,2,2,1,5,1,1,1,2,1,4,3,2,4,5,3,3,3,3,5,3,4,3,4,5,3,3,4,2,4,1,1,3,1,2,8.82
10019,3,3,3,4,5,3,4,4,3,4,1,3,3,4,5,3,2,2,1,3,2,2,2,4,3,4,3,4,5,5,3,4,4,3,5,1,4,3,3,5,4,1,1,1,5,2,2,2,2,1,4,3,3,4,5,3,5,4,2,5,1,5,3,4,5,2,2,1,1,5,2,2,2,2,3,7.64
10020,4,4,2,5,4,4,2,4,3,4,3,3,4,4,5,4,4,3,3,4,1,1,2,1,1,3,3,4,4,4,4,4,3,4,4,4,4,3,4,5,3,2,3,3,4,1,1,1,1,1,4,4,3,3,3,4,4,3,4,5,3,4,4,3,4,3,4,4,2,4,1,1,1,1,2,6.67
10021,3,3,4,4,5,4,3,2,4,4,4,3,1,3,5,2,1,2,2,5,1,1,3,1,1,4,3,4,4,4,4,3,4,4,4,2,4,2,3,4,2,2,1,1,3,1,1,1,1,1,3,3,4,4,5,3,3,3,4,5,2,3,3,2,4,2,2,2,2,5,1,1,1,1,1,8.70
10022,4,5,4,4,4,4,3,2,4,4,3,4,2,1,5,2,2,2,1,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,1,3,1,2,3,4,1,4,4,5,5,1,1,1,1,5,2,3,2,2,2,7.13
10023,3,2,3,3,4,2,2,1,2,5,4,4,4,5,4,4,2,3,2,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,4,4,3,3,2,4,4,4,3,3,4,4,3,3,3,2,5,1,2,2,2,3,7.22
10024,3,2,2,3,4,2,2,1,2,5,2,3,4,4,5,2,1,1,1,5,1,1,1,1,1,3,2,2,2,4,2,1,3,2,5,2,2,2,2,4,1,1,1,1,5,1,1,1,1,1,3,1,3,2,4,3,2,2,3,4,2,3,2,3,3,2,2,1,2,3,1,1,2,4,4,8.60
10025,4,3,1,2,3,3,1,1,3,4,2,1,2,3,4,2,2,1,1,3,3,5,4,5,4,4,1,2,2,2,2,2,3,3,1,2,3,2,2,2,2,2,1,2,2,2,4,3,2,3,4,1,3,1,2,1,4,3,1,1,3,3,2,2,1,1,1,1,1,1,3,4,2,3,4,8.22
10026,2,3,4,4,5,4,4,3,3,4,4,4,4,5,5,4,4,4,3,5,1,1,1,1,1,4,2,3,4,4,4,5,4,4,3,3,5,3,5,4,3,3,3,3,4,1,1,1,1,1,3,2,2,3,2,4,2,3,4,5,3,5,3,4,5,3,3,2,2,3,1,1,1,1,1,6.78
10027,3,2,2,3,4,3,4,3,3,4,4,3,3,4,4,2,1,2,2,3,2,2,3,2,2,4,1,1,2,1,4,4,3,4,5,3,2,2,3,3,2,1,2,1,3,3,2,2,3,2,3,2,2,2,3,4,3,2,3,3,2,2,2,4,4,2,2,1,2,3,2,2,4,2,3,6.25
10028,3,2,3,3,5,4,5,4,5,5,4,3,1,4,5,2,1,1,2,5,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6.70
10029,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.10
10030,3,5,4,3,3,3,2,3,2,3,3,3,3,2,3,3,2,1,2,3,3,3,4,2,3,3,5,2,1,3,2,2,2,2,3,3,2,2,4,3,1,1,1,1,3,4,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.30
10031,5,4,2,4,4,4,5,4,5,4,5,3,4,5,5,3,4,4,4,4,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4,2,2,4,2,2,4,3,4,4,4,4,2,4,4,2,4,3,3,4,5,3,3,3,4,5,2,2,2,2,2,6.00
10032,5,4,1,1,5,1,4,3,1,4,4,5,4,4,5,4,1,5,2,5,1,1,1,3,3,5,4,3,2,4,3,5,3,2,5,4,5,4,5,4,4,3,3,2,5,1,5,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.38
10033,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.55
10034,1,1,1,1,3,3,1,1,5,4,4,5,4,4,5,4,4,4,3,5,1,1,2,1,1,4,1,1,1,4,3,3,1,4,4,4,4,4,1,4,4,4,3,3,4,1,1,1,1,1,3,1,1,1,5,2,3,1,2,5,5,5,5,5,5,4,4,4,3,5,1,1,1,1,1,8.80
10035,4,1,2,2,2,2,4,3,1,3,3,5,4,5,4,3,3,1,1,3,1,1,1,1,2,4,2,2,5,3,4,4,4,3,4,4,5,3,4,4,3,3,2,2,4,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.70
10036,3,4,5,5,4,2,5,5,2,5,2,5,2,4,3,2,1,1,3,5,4,4,5,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,2,2,1,2,5,3,4,3,3,5,5,5,5,5,4,4,4,5,4,1,2,4,3,5,4,3,4,2,2,6.63
10037,5,5,5,5,5,5,3,5,4,5,4,4,2,5,5,3,1,2,2,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,2,5,5,5,3,4,1,3,3,3,3,1,1,1,3,2,2,3,2,3,6.11
10038,3,2,2,3,4,3,4,4,3,4,3,2,2,4,3,2,2,2,1,4,3,3,3,4,2,4,2,4,5,4,4,5,4,4,4,3,4,3,4,3,3,2,3,3,4,2,2,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,2,2,3,2,2,2,3,3,7.23
10039,3,4,4,4,4,2,1,2,2,5,4,2,3,3,4,2,1,1,1,2,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,1,2,1,1,4,3,2,1,3,4,2,1,1,1,4,5,2,4,5,4,6.11
10040,3,2,1,3,3,3,3,2,2,4,4,4,4,4,4,2,3,3,2,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
10041,3,3,3,3,3,3,3,3,3,4,3,3,3,2,4,3,2,2,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,3,3,1,3,3,2,2,3,2,1,1,2,3,2,2,3,2,2,7.60
10042,2,2,2,3,5,1,2,3,2,5,4,4,3,4,5,4,2,1,3,5,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,2,2,3,2,2,3,3,2,3,3,3,3,2,1,1,5,3,3,2,2,2,8.60
10043,4,2,2,4,4,4,1,3,3,4,4,4,4,4,4,4,3,3,3,4,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,2,2,2,2,5,4,5,4,3,4,4,4,2,3,4,1,1,1,1,2,6.71
10044,3,4,4,5,4,5,2,3,2,3,1,1,1,2,3,1,1,1,1,3,5,3,2,1,4,3,2,3,4,3,2,5,3,2,2,2,3,1,3,2,4,1,3,1,2,3,3,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
10045,4,2,4,4,4,4,4,4,4,5,2,2,3,4,5,3,1,1,2,5,2,1,2,1,1,5,4,5,4,4,1,5,5,3,4,1,3,3,4,3,2,1,1,1,2,3,1,2,2,2,5,4,4,3,3,3,5,5,3,4,3,4,3,4,4,2,1,1,1,4,2,2,3,2,3,6.25
10046,3,4,3,3,5,4,1,1,4,3,3,4,3,2,4,2,1,2,1,2,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,4,4,3,3,3,5.33
10047,4,5,2,1,2,2,1,1,2,3,2,2,1,1,3,3,1,1,1,2,3,4,3,2,4,2,5,4,2,2,3,1,2,3,4,3,2,3,3,4,2,1,2,1,3,3,4,2,2,3,4,5,2,3,4,2,4,3,1,4,3,2,2,3,5,3,1,1,1,4,1,1,1,1,1,6.67
10048,4,3,4,5,4,3,4,3,4,5,3,4,3,4,4,2,2,1,1,4,2,3,2,2,2,4,4,5,4,4,3,4,4,4,4,2,3,3,4,5,2,2,2,1,5,3,2,3,2,2,5,4,4,5,5,5,4,4,5,5,3,4,3,4,5,3,2,2,2,5,3,2,3,3,3,7.90
10049,4,4,4,5,4,3,3,3,3,4,4,4,4,5,5,4,2,3,2,4,2,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,2,5,2,3,5,3,5,3,5,5,3,3,3,2,5,1,2,2,1,1,7.56
10050,4,2,1,2,4,3,1,1,3,5,4,3,3,4,5,1,1,1,1,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36
10051,5,4,4,4,4,5,5,5,3,2,3,3,3,5,5,3,3,3,3,5,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
10052,3,2,2,4,3,3,2,2,3,4,4,4,3,4,4,3,2,1,2,3,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,1,2,2,4,4,3,3,3,4,3,2,1,1,3,1,1,2,1,4,7.92
10053,3,1,2,2,3,2,2,3,1,1,3,2,1,3,1,2,1,1,1,3,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,5,4,4,3,2,5,4,2,3,3,5,2,1,1,1,5,1,1,1,1,2,7.15
10054,4,3,5,4,4,2,2,2,2,4,3,2,2,1,3,1,2,1,2,4,5,3,4,2,3,2,4,4,4,3,4,2,3,3,4,4,2,3,3,4,3,2,2,2,3,3,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
10055,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,3,4,2,3,3,1,4,1,5,1,5,5,1,1,1,1,4,1,1,1,1,1,5.00
10056,1,2,2,3,2,2,3,4,2,4,4,5,4,4,4,3,2,1,1,4,1,1,4,1,1,4,1,2,3,3,3,3,2,4,4,3,4,4,5,3,4,1,1,2,5,1,1,2,1,2,3,2,4,2,4,3,4,2,2,3,4,5,4,4,3,4,1,1,1,5,1,1,1,1,1,7.42
10057,3,1,5,3,5,3,5,5,3,5,5,5,5,5,5,5,4,3,3,5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
10058,2,5,3,4,4,3,1,2,3,5,4,3,3,3,4,3,3,3,3,4,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
10059,3,1,4,2,3,2,2,1,3,4,3,3,3,4,4,4,3,3,3,4,2,1,2,1,3,4,4,3,4,3,3,1,3,3,2,3,2,3,2,4,2,2,2,2,3,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.13
10060,3,3,3,3,3,3,2,2,3,3,3,3,3,2,4,3,2,2,2,2,2,1,2,1,4,3,2,3,3,4,4,3,3,4,4,3,3,3,3,4,2,2,2,2,4,2,2,2,1,2,3,3,3,3,4,4,2,2,4,4,3,3,3,4,4,2,2,3,2,4,1,1,2,1,1,8.55
10061,3,2,4,2,3,3,2,3,3,5,3,4,4,4,5,3,3,2,2,4,2,4,3,3,4,3,4,3,3,4,3,2,1,4,4,4,4,4,4,5,4,3,2,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
10062,3,3,4,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,2,1,3,2,3,3,3,3,3,3,3,3,2,4,3,3,3,2,3,3,3,2,3,3,3,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.20
10063,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,2,1,1,3,4,4,3,3,3,4,4,3,4,4,3,4,5,4,4,2,4,2,2,2,4,2,1,1,2,2,3,2,2,3,2,4,4,4,5,4,3,5,4,3,4,3,4,3,4,4,2,2,1,1,4,3,3,2,2,3,6.00
10064,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,2,3,3,3,2,3,4,2,2,3,2,2,2,2,2,2,2,6.25
10065,3,5,2,2,3,4,1,2,1,5,2,2,3,4,3,1,1,1,1,4,5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,3,2,4,3,3,4,4,4,4,4,4,2,3,2,4,2,4,4,3,3,6.33
10066,5,5,5,5,5,4,4,4,5,5,4,3,4,5,5,2,2,2,1,5,3,3,4,1,1,5,5,5,5,4,5,4,4,5,4,3,2,3,3,4,2,2,2,2,4,3,3,3,3,4,3,4,3,4,5,3,2,3,3,4,4,5,4,5,5,5,5,5,4,5,1,1,1,1,2,8.30
10067,3,4,5,4,5,4,3,3,2,5,1,3,2,1,5,3,2,1,1,5,4,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56
10068,3,5,4,5,4,3,3,3,3,4,4,3,3,4,4,3,2,2,1,4,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
10069,3,2,2,4,5,4,5,5,4,5,3,4,4,5,5,3,2,1,1,5,4,2,3,1,2,4,4,5,4,4,3,3,4,3,4,2,2,2,3,4,1,1,1,1,4,3,3,4,2,3,3,3,3,2,5,3,4,4,3,5,4,4,4,5,5,2,1,2,2,4,1,2,3,1,2,7.60
10070,5,4,4,4,4,4,4,4,4,5,3,3,3,5,5,3,1,1,1,4,2,2,2,1,4,4,3,4,4,5,3,4,3,4,5,4,3,2,3,5,2,1,1,1,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,7.42
10071,1,5,4,3,4,1,1,1,1,3,4,4,4,3,4,3,1,1,1,3,5,5,5,5,4,3,5,5,4,3,3,1,3,2,4,3,3,3,4,3,3,3,1,2,3,5,2,5,3,3,3,4,4,5,4,2,3,2,3,4,4,4,3,4,5,4,3,2,1,5,5,3,2,3,3,7.70
10072,3,3,4,4,4,4,4,3,5,4,4,5,3,5,5,4,3,3,2,4,1,5,2,1,2,3,2,2,3,3,4,3,4,3,4,3,5,3,4,4,3,3,2,2,4,1,1,1,1,2,3,2,3,4,4,4,4,3,3,4,3,4,4,5,4,3,3,1,2,4,1,1,1,1,2,6.11
10073,5,2,2,4,5,5,5,5,5,5,3,4,3,4,5,3,3,1,2,5,1,1,1,1,3,5,4,4,4,5,5,5,5,4,5,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.55
10074,4,5,5,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,3,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,4,7.00
10075,3,3,3,4,4,4,4,4,4,4,5,4,4,4,5,4,2,2,2,5,2,2,2,2,1,4,3,4,4,4,5,5,4,4,5,4,5,4,4,5,3,2,1,2,5,1,1,2,1,1,5,2,2,4,5,4,4,5,4,5,5,5,4,5,5,4,3,2,2,5,1,1,2,1,1,5.25
10076,3,1,2,3,4,2,2,2,1,3,4,3,2,3,4,3,1,1,2,4,1,1,3,2,1,2,1,2,2,4,3,3,3,3,4,4,3,2,3,4,2,2,3,2,5,1,1,2,2,2,4,2,2,3,4,2,3,2,2,4,3,2,3,2,4,2,2,2,2,4,2,1,2,3,1,5.38
10077,5,1,4,5,5,5,4,4,5,4,4,5,4,4,4,2,4,2,1,3,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,5,5,5,5,5,4,5,4,4,3,3,5,2,2,1,3,4,2,1,5,3,4,8.82
10078,3,3,3,3,5,1,3,3,1,5,4,4,4,4,5,5,1,1,1,5,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,2,4,4,2,5,2,4,4,4,5,3,2,1,2,5,2,2,2,2,2,7.25
